config ok
listening on 9999
port open. Data rate: 9600
2023-09-21T07:11:49.195Z <Buffer 5b>
2023-09-21T07:11:49.196Z <Buffer 31>
2023-09-21T07:11:49.197Z <Buffer 30>
2023-09-21T07:11:49.198Z <Buffer 3b>
2023-09-21T07:11:49.199Z <Buffer 37>
2023-09-21T07:11:49.200Z <Buffer 39>
2023-09-21T07:11:49.201Z <Buffer 48>
2023-09-21T07:11:49.203Z <Buffer 7c>
2023-09-21T07:11:49.203Z <Buffer 1b>
2023-09-21T07:11:49.204Z <Buffer 5b>
2023-09-21T07:11:49.205Z <Buffer 31>
2023-09-21T07:11:49.206Z <Buffer 31>
2023-09-21T07:11:49.207Z <Buffer 3b>
2023-09-21T07:11:49.208Z <Buffer 32>
2023-09-21T07:11:49.209Z <Buffer 48>
2023-09-21T07:11:49.210Z <Buffer 7c>
2023-09-21T07:11:49.211Z <Buffer 1b>
2023-09-21T07:11:49.212Z <Buffer 5b>
2023-09-21T07:11:49.214Z <Buffer 31>
2023-09-21T07:11:49.215Z <Buffer 31>
2023-09-21T07:11:49.216Z <Buffer 3b>
2023-09-21T07:11:49.217Z <Buffer 37>
2023-09-21T07:11:49.218Z <Buffer 39>
2023-09-21T07:11:49.219Z <Buffer 48>
2023-09-21T07:11:49.220Z <Buffer 7c>
2023-09-21T07:11:49.221Z <Buffer 1b>
2023-09-21T07:11:49.222Z <Buffer 5b>
2023-09-21T07:11:49.223Z <Buffer 31>
2023-09-21T07:11:49.224Z <Buffer 32>
2023-09-21T07:11:49.225Z <Buffer 3b>
2023-09-21T07:11:49.226Z <Buffer 32>
2023-09-21T07:11:49.227Z <Buffer 48>
2023-09-21T07:11:49.228Z <Buffer 7c>
2023-09-21T07:11:49.229Z <Buffer 1b>
2023-09-21T07:11:49.230Z <Buffer 5b>
2023-09-21T07:11:49.231Z <Buffer 31>
2023-09-21T07:11:49.232Z <Buffer 32>
2023-09-21T07:11:49.233Z <Buffer 3b>
2023-09-21T07:11:49.234Z <Buffer 37>
2023-09-21T07:11:49.235Z <Buffer 39>
2023-09-21T07:11:49.236Z <Buffer 48>
2023-09-21T07:11:49.237Z <Buffer 7c>
2023-09-21T07:11:49.238Z <Buffer 1b>
2023-09-21T07:11:49.240Z <Buffer 5b>
2023-09-21T07:11:49.241Z <Buffer 31>
2023-09-21T07:11:49.242Z <Buffer 33>
2023-09-21T07:11:49.243Z <Buffer 3b>
2023-09-21T07:11:49.244Z <Buffer 32>
2023-09-21T07:11:49.245Z <Buffer 48>
2023-09-21T07:11:49.246Z <Buffer 7c>
2023-09-21T07:11:49.247Z <Buffer 1b>
2023-09-21T07:11:49.248Z <Buffer 5b>
2023-09-21T07:11:49.249Z <Buffer 31>
2023-09-21T07:11:49.250Z <Buffer 33>
2023-09-21T07:11:49.251Z <Buffer 3b>
2023-09-21T07:11:49.252Z <Buffer 37>
2023-09-21T07:11:49.253Z <Buffer 39>
2023-09-21T07:11:49.254Z <Buffer 48>
2023-09-21T07:11:49.255Z <Buffer 7c>
2023-09-21T07:11:49.256Z <Buffer 1b>
2023-09-21T07:11:49.257Z <Buffer 5b>
2023-09-21T07:11:49.258Z <Buffer 31>
2023-09-21T07:11:49.259Z <Buffer 34>
2023-09-21T07:11:49.260Z <Buffer 3b>
2023-09-21T07:11:49.261Z <Buffer 32>
2023-09-21T07:11:49.262Z <Buffer 48>
2023-09-21T07:11:49.263Z <Buffer 7c>
2023-09-21T07:11:49.264Z <Buffer 1b>
2023-09-21T07:11:49.266Z <Buffer 5b>
2023-09-21T07:11:49.267Z <Buffer 31>
2023-09-21T07:11:49.268Z <Buffer 34>
2023-09-21T07:11:49.269Z <Buffer 3b>
2023-09-21T07:11:49.270Z <Buffer 37>
2023-09-21T07:11:49.271Z <Buffer 39>
2023-09-21T07:11:49.272Z <Buffer 48>
2023-09-21T07:11:49.273Z <Buffer 7c>
2023-09-21T07:11:49.274Z <Buffer 1b>
2023-09-21T07:11:49.275Z <Buffer 5b>
2023-09-21T07:11:49.276Z <Buffer 31>
2023-09-21T07:11:49.278Z <Buffer 35>
2023-09-21T07:11:49.278Z <Buffer 3b>
2023-09-21T07:11:49.279Z <Buffer 32>
2023-09-21T07:11:49.280Z <Buffer 48>
2023-09-21T07:11:49.281Z <Buffer 7c>
2023-09-21T07:11:49.282Z <Buffer 1b>
2023-09-21T07:11:49.283Z <Buffer 5b>
2023-09-21T07:11:49.284Z <Buffer 31>
2023-09-21T07:11:49.285Z <Buffer 35>
2023-09-21T07:11:49.286Z <Buffer 3b>
2023-09-21T07:11:49.288Z <Buffer 37>
2023-09-21T07:11:49.288Z <Buffer 39>
2023-09-21T07:11:49.290Z <Buffer 48>
2023-09-21T07:11:49.291Z <Buffer 7c>
2023-09-21T07:11:49.292Z <Buffer 1b>
2023-09-21T07:11:49.293Z <Buffer 5b>
2023-09-21T07:11:49.294Z <Buffer 31>
2023-09-21T07:11:49.295Z <Buffer 36>
2023-09-21T07:11:49.296Z <Buffer 3b>
2023-09-21T07:11:49.297Z <Buffer 32>
2023-09-21T07:11:49.298Z <Buffer 48>
2023-09-21T07:11:49.299Z <Buffer 7c>
2023-09-21T07:11:49.300Z <Buffer 1b>
2023-09-21T07:11:49.301Z <Buffer 5b>
2023-09-21T07:11:49.302Z <Buffer 31>
2023-09-21T07:11:49.303Z <Buffer 36>
2023-09-21T07:11:49.304Z <Buffer 3b>
2023-09-21T07:11:49.305Z <Buffer 37>
2023-09-21T07:11:49.306Z <Buffer 39>
2023-09-21T07:11:49.307Z <Buffer 48>
2023-09-21T07:11:49.308Z <Buffer 7c>
2023-09-21T07:11:49.309Z <Buffer 1b>
2023-09-21T07:11:49.310Z <Buffer 5b>
2023-09-21T07:11:49.312Z <Buffer 31>
2023-09-21T07:11:49.312Z <Buffer 37>
2023-09-21T07:11:49.314Z <Buffer 3b>
2023-09-21T07:11:49.314Z <Buffer 32>
2023-09-21T07:11:49.316Z <Buffer 48>
2023-09-21T07:11:49.317Z <Buffer 2b>
2023-09-21T07:11:49.317Z <Buffer 2d>
2023-09-21T07:11:49.319Z <Buffer 2d>
2023-09-21T07:11:49.320Z <Buffer 2d>
2023-09-21T07:11:49.321Z <Buffer 2d>
2023-09-21T07:11:49.322Z <Buffer 2d>
2023-09-21T07:11:49.323Z <Buffer 2d>
2023-09-21T07:11:49.324Z <Buffer 2d>
2023-09-21T07:11:49.325Z <Buffer 2d>
2023-09-21T07:11:49.326Z <Buffer 2d>
2023-09-21T07:11:49.327Z <Buffer 2d>
2023-09-21T07:11:49.328Z <Buffer 2d>
2023-09-21T07:11:49.329Z <Buffer 2d>
2023-09-21T07:11:49.330Z <Buffer 2d>
2023-09-21T07:11:49.331Z <Buffer 2d>
2023-09-21T07:11:49.332Z <Buffer 2d>
2023-09-21T07:11:49.333Z <Buffer 2d>
2023-09-21T07:11:49.334Z <Buffer 2d>
2023-09-21T07:11:49.335Z <Buffer 2d>
2023-09-21T07:11:49.336Z <Buffer 2d>
2023-09-21T07:11:49.337Z <Buffer 2d>
2023-09-21T07:11:49.338Z <Buffer 2d>
2023-09-21T07:11:49.339Z <Buffer 2d>
2023-09-21T07:11:49.340Z <Buffer 2d>
2023-09-21T07:11:49.341Z <Buffer 2d>
2023-09-21T07:11:49.342Z <Buffer 2d>
2023-09-21T07:11:49.344Z <Buffer 2d>
2023-09-21T07:11:49.345Z <Buffer 2d>
2023-09-21T07:11:49.346Z <Buffer 2d>
2023-09-21T07:11:49.347Z <Buffer 2d>
2023-09-21T07:11:49.348Z <Buffer 2d>
2023-09-21T07:11:49.349Z <Buffer 2d>
2023-09-21T07:11:49.350Z <Buffer 2d>
2023-09-21T07:11:49.351Z <Buffer 2d>
2023-09-21T07:11:49.352Z <Buffer 2d>
2023-09-21T07:11:49.353Z <Buffer 2d>
